ULAN,ID_WIKIDATA,ConstituentID,DisplayName,ArtistBio,Nationality,pays,Gender,BeginDate,EndDate,datenaissance,datemort
,,287,Malcolm Bailey,"American, 1947–2011",American,United States,Male,1947,2011,,
,,288,Oscar Bailey,"American, 1925–2010",American,United States,Male,1925,2010,,
,,289,William Bailey,"American, 1930–2020",American,United States,Male,1930,2020,,
,Q55217969,290,Larry Bair,"American, 1952–1990",American,United States,Male,1952,1990,1952-01-01T00:00:00Z,1990-01-01T00:00:00Z
,,291,Eugenie Baizerman,"American, born Poland. 1899–1949",American,United States,Female,1899,1949,,
500030098,Q765758,292,Enrico Baj,"Italian, 1924–2003",Italian,Italy,Male,1924,2003,,
,,294,Carl Baker,American,American,United States,Male,0,,,
,,296,Mikal Baker,"American, born 1946",American,United States,Male,1946,,,
,,298,Vagrich Bakhchanyan,"Russian, 1938–2009",Russian,Russia,Male,1938,2009,,
,,299,Gerhard H. Bakker,"American, born Germany. 1906–1988",American,United States,Male,1906,1988,,
500009524,Q214666,300,Léon Bakst,"Russian, 1866–1924",Russian,Russia,Male,1866,1924,,
,,301,Gerard Baksteen,"Dutch, 1887–1976",Dutch,Netherlands,Male,1887,1976,,
,,302,Amèrico Balán,"Argentine, 1915–1986",Argentine,Argentina,Male,1915,1986,,
,,303,Jirí Balcar,"Czech, 1929–1968",Czech,Czech Republic,Male,1929,1968,,
500098854,Q683378,304,John Baldessari,"American, 1931–2020",American,United States,Male,1931,2020,,
,,305,George Baldessin,"Australian, 1939–1978",Australian,Australia,Male,1939,1978,,
,,307,C. Leroy Baldridge,"American, 1889–1975",American,United States,Male,1889,1975,,
500024737,Q71244,308,Édouard-Denis Baldus,"French, 1813–1882",French,France,Male,1813,1882,,
,,309,Benjamin Baldwin,"American, 1913–1993",American,United States,Male,1913,1993,,
500000507,Q12012418,310,Joost Baljeu,"Dutch, 1925–1991",Dutch,Netherlands,Male,1925,1991,,
500014876,Q368254,311,Giacomo Balla,"Italian, 1871–1958",Italian,Italy,Male,1871,1958,,
,,313,R. Maxil Ballinger,"American, 1914–1958",American,United States,Male,1914,1958,,
500060722,Q2416828,314,Theo H. Ballmer,"Swiss, 1902–1965",Swiss,Switzerland,Male,1902,1965,,
,,315,Alexander Bally,"American, born 1938",American,United States,Male,1938,,,
,,316,John F. Balossi,"American, 1931–2007",American,United States,Male,1931,2007,,
500021167,Q325925,317,Balthus (Baltusz Klossowski de Rola),"French, 1908–2001",French,France,Male,1908,2001,,
500011333,Q353266,318,Lewis Baltz,"American, 1945–2014",American,United States,Male,1945,2014,1945-09-12T00:00:00Z,2014-11-22T00:00:00Z
,,319,Thomas Bamberger,"American, born 1948",American,United States,Male,1948,,,
,,320,McDonald (Mackey Jeffries) Bane,"American, born 1928",American,United States,Female,1928,,,
,,321,Colette Bangert,"American, born 1934",American,United States,Female,1934,,,
,,322,Walter Darby Bannard,"American, 1934–2016",American,United States,Male,1934,2016,,
500028747,Q6220564,323,John Banting,"British, 1902–1972",British,United Kingdom,Male,1902,1972,,
,,324,Rudolf Baranik,"American, 1920–1998",American,United States,Male,1920,1998,,
500017903,Q573654,325,Vladimir Baranoff-Rossiné,"Ukrainian, 1888–1944",Ukrainian,Ukraine,Male,1888,1944,,
,,327,Anthony Barboza,"American, born 1944",American,United States,Male,1944,,,
500003657,Q561930,329,Miquel Barcelo,"Spanish, born 1957",Spanish,Spain,Male,1957,,,
,,330,Peter Bardazzi,"American, born 1943",American,United States,Male,1943,,,
,,331,Jules-Jean-Antoine Baric,"French, 1825–1905",French,France,Male,1825,1905,,
,,332,Richard Baringer,"American, 1921–1980",American,United States,Male,1921,1980,,
,Q61014957,333,George Barker,"Australian, born 1942",Australian,Australia,Male,1942,,1942-01-01T00:00:00Z,
,,334,Walter William Barker,"American, born Germany. 1921–2004",American,United States,Male,1921,2004,,
500013940,Q156890,335,Ernst Barlach,"German, 1870–1938",German,Germany,Male,1870,1938,,
500115186,Q127916,336,George N. Barnard,"American, 1819–1902",American,United States,Male,1819,1902,,
,,337,Cyril H. Barnes,American,American,United States,Male,0,,,
